Order,Track,Duration
1,01 - The Gate at Daybreak,02:54
2,02 - Morning Cafe,02:49
3,03 - The Old Library,02:42
4,04 - Maple Street Walk,02:37
5,05 - Bakery on the Corner,02:57
6,06 - Riverside Path,02:59
7,07 - The Flower Market,01:58
8,08 - The Clock Tower Square,02:48
9,09 - The Hidden Garden,02:59
10,10 - The Hill Above Rain Valley,02:46
11,11 - The Artist's Alley,02:48
12,12 - Golden Hour Bridge,02:56
13,13 - Lanterns Before Sunset,02:57
14,14 - The First Lantern,02:48
15,15 - The Evening Tea House,02:50
16,16 - The First Raindrops,02:44
17,17 - Lantern Reflections,02:55
18,18 - Rain at the Cafe Window,02:59
19,19 - The Last Train Home,02:59
20,20 - Goodnight Rain Valley,02:48
21,08 - The Clock Tower Square,02:48
22,09 - The Hidden Garden,02:59
23,10 - The Hill Above Rain Valley,02:46
24,11 - The Artist's Alley,02:48
25,12 - Golden Hour Bridge,02:56
26,13 - Lanterns Before Sunset,02:57
27,14 - The First Lantern,02:48
28,15 - The Evening Tea House,02:50
29,16 - The First Raindrops,02:44
30,17 - Lantern Reflections,02:55
31,18 - Rain at the Cafe Window,02:59
32,19 - The Last Train Home,02:59
33,20 - Goodnight Rain Valley,02:48
34,01 - The Gate at Daybreak,02:54
35,02 - Morning Cafe,02:49
36,03 - The Old Library,02:42
37,04 - Maple Street Walk,02:37
38,05 - Bakery on the Corner,02:57
39,06 - Riverside Path,02:59
40,07 - The Flower Market,01:58
41,15 - The Evening Tea House,02:50
42,16 - The First Raindrops,02:44
43,17 - Lantern Reflections,02:55
44,18 - Rain at the Cafe Window,02:59
45,19 - The Last Train Home,02:59
